ID,Subject,Channel,Status,Priority,"Assigned User","Created At","Resolved At","Closed At"
8,"Ea deleniti et ipsam ipsam sit impedit quo.",api,closed,normal,,2026-09-05T14:43:33.000000Z,2026-09-15T15:24:59.182794Z,2026-09-05T14:43:33.000000Z,Closed,secondary,Normal,info,API,"1 week ago"
2,"Nisi error et aut.",web,open,low,,2026-09-05T14:43:33.000000Z,2026-09-15T15:24:59.201168Z,2026-09-15T15:24:59.201271Z,Open,info,Low,secondary,Website,"1 week ago"
4,"Sunt ratione voluptas voluptatum tenetur animi.",api,resolved,normal,,2026-09-05T14:43:33.000000Z,2026-09-06T14:02:35.000000Z,2026-09-15T15:24:59.201892Z,Resolved,success,Normal,info,API,"1 week ago"
1,"Suscipit aut distinctio impedit quia qui non et.",web,resolved,normal,,2026-09-05T14:43:33.000000Z,2026-09-05T18:17:27.000000Z,2026-09-15T15:24:59.202476Z,Resolved,success,Normal,info,Website,"1 week ago"
6,"Qui aspernatur ipsam in blanditiis.",api,resolved,normal,,2026-09-05T14:43:33.000000Z,2026-09-06T14:47:17.000000Z,2026-09-15T15:24:59.203052Z,Resolved,success,Normal,info,API,"1 week ago"
5,"Voluptas beatae tenetur enim blanditiis.",web,open,normal,16,2026-09-05T14:43:33.000000Z,2026-09-15T15:24:59.203587Z,2026-09-15T15:24:59.203680Z,Open,info,Normal,info,Website,"1 week ago"
7,"Est sit quidem facilis eius et ducimus.",api,resolved,low,,2026-09-05T14:43:33.000000Z,2026-09-05T14:43:33.000000Z,2026-09-15T15:24:59.204263Z,Resolved,success,Low,secondary,API,"1 week ago"
9,"Saepe saepe debitis soluta voluptatum quo.",web,open,urgent,16,2026-09-05T14:43:33.000000Z,2026-09-15T15:24:59.204762Z,2026-09-15T15:24:59.204854Z,Open,info,Urgent,danger,Website,"1 week ago"
10,Subject,web,open,normal,16,2026-09-05T15:01:09.000000Z,2026-09-15T15:24:59.205358Z,2026-09-15T15:24:59.205451Z,Open,info,Normal,info,Website,"1 week ago"
11,"Need to talk",api,closed,normal,,2026-09-05T15:02:09.000000Z,2026-09-15T15:24:59.205951Z,2026-09-05T19:08:38.000000Z,Closed,secondary,Normal,info,API,"1 week ago"
12,"New Conversation",web,pending,normal,,2026-09-11T19:27:30.000000Z,2026-09-15T15:24:59.207108Z,2026-09-15T15:24:59.207245Z,Pending,warning,Normal,info,Website,"3 days ago"
